({'Class Name: democrat', 'handicapped-infants: yes'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9102564102564102')
({'anti-satellite-test-ban: yes', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no', 'aid-to-nicaraguan-contras: yes', 'Class Name: democrat'}, 'confidence: 0.9010989010989011')
({'Class Name: democrat', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, 'confidence: 0.9010989010989011')
({'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no', 'Class Name: democrat'}, 'confidence: 0.9425287356321839')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'physician-fee-freeze: no', 'Class Name: democrat', 'aid-to-nicaraguan-contras: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.9425287356321839')
({'el-salvador-aid: no', 'Class Name: democrat', 'anti-satellite-test-ban: yes'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9010989010989011')
({'el-salvador-aid: no', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'Class Name: democrat', 'physician-fee-freeze: no'}, 'confidence: 0.9590643274853801')
({'el-salvador-aid: no', 'Class Name: democrat', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9761904761904762')
({'el-salvador-aid: no', 'aid-to-nicaraguan-contras: yes', 'Class Name: democrat', 'adoption-of-the-budget-resolution: yes'}, {'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9010989010989011')
({'el-salvador-aid: no', 'aid-to-nicaraguan-contras: yes', 'Class Name: democrat', 'anti-satellite-test-ban: yes'}, {'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9162011173184358')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat', 'physician-fee-freeze: no'}, 'confidence: 0.9704142011834319')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'Class Name: democrat', 'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, {'physician-fee-freeze: no'}, 'confidence: 0.9879518072289156')
({'el-salvador-aid: no', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'Class Name: democrat', 'anti-satellite-test-ban: yes'}, 'confidence: 0.9060773480662984')
({'el-salvador-aid: no', 'Class Name: democrat', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes'}, 'confidence: 0.9060773480662984')
({'el-salvador-aid: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes', 'Class Name: democrat', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9213483146067416')
({'el-salvador-aid: no', 'Class Name: democrat', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9265536723163842')
({'el-salvador-aid: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'Class Name: democrat'}, 'confidence: 0.9879518072289156')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'physician-fee-freeze: no', 'Class Name: democrat', 'el-salvador-aid: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9879518072289156')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat', 'anti-satellite-test-ban: yes'}, 'confidence: 0.9162011173184358')
({'adoption-of-the-budget-resolution: yes', 'physician-fee-freeze: no', 'Class Name: democrat', 'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9162011173184358')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'Class Name: democrat', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9371428571428572')
({'anti-satellite-test-ban: yes', 'physician-fee-freeze: no', 'Class Name: democrat', 'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9425287356321839')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'physician-fee-freeze: no', 'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, {'Class Name: democrat'}, 'confidence: 1.0')
({'anti-satellite-test-ban: yes', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'Class Name: democrat', 'physician-fee-freeze: no'}, 'confidence: 0.9030303030303031')
({'Class Name: democrat', 'anti-satellite-test-ban: yes', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9430379746835443')
({'aid-to-nicaraguan-contras: yes', 'Class Name: democrat', 'anti-satellite-test-ban: yes', 'education-spending: no'}, {'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9141104294478528')
({'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat', 'physician-fee-freeze: no'}, 'confidence: 0.9551282051282052')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'Class Name: democrat', 'aid-to-nicaraguan-contras: yes', 'education-spending: no'}, {'physician-fee-freeze: no'}, 'confidence: 0.9867549668874173')
({'physician-fee-freeze: no', 'anti-satellite-test-ban: yes', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'Class Name: democrat'}, 'confidence: 0.9551282051282052')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'physician-fee-freeze: no', 'Class Name: democrat', 'education-spending: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9551282051282052')
({'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no', 'anti-satellite-test-ban: yes', 'education-spending: no'}, {'Class Name: democrat', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9371069182389937')
({'anti-satellite-test-ban: yes', 'physician-fee-freeze: no', 'Class Name: democrat', 'aid-to-nicaraguan-contras: yes', 'education-spending: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9430379746835443')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'physician-fee-freeze: no', 'aid-to-nicaraguan-contras: yes', 'education-spending: no'}, {'Class Name: democrat'}, 'confidence: 1.0')
({'superfund-right-to-sue: no', 'Class Name: democrat', 'anti-satellite-test-ban: yes'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.910828025477707')
({'superfund-right-to-sue: no', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'Class Name: democrat', 'physician-fee-freeze: no'}, 'confidence: 0.934640522875817')
({'superfund-right-to-sue: no', 'Class Name: democrat', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9794520547945206')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'Class Name: democrat', 'adoption-of-the-budget-resolution: yes'}, {'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, 'confidence: 0.910828025477707')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'Class Name: democrat', 'anti-satellite-test-ban: yes'}, {'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9407894736842105')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat', 'physician-fee-freeze: no'}, 'confidence: 0.9533333333333334')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'superfund-right-to-sue: no', 'Class Name: democrat', 'aid-to-nicaraguan-contras: yes'}, {'physician-fee-freeze: no'}, 'confidence: 1.0')
({'superfund-right-to-sue: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes', 'Class Name: democrat', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9050632911392406')
({'superfund-right-to-sue: no', 'Class Name: democrat', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9166666666666666')
({'superfund-right-to-sue: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'Class Name: democrat'}, 'confidence: 0.9794520547945206')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'physician-fee-freeze: no', 'superfund-right-to-sue: no', 'Class Name: democrat'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9794520547945206')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat', 'anti-satellite-test-ban: yes'}, 'confidence: 0.9166666666666666')
({'adoption-of-the-budget-resolution: yes', 'physician-fee-freeze: no', 'superfund-right-to-sue: no', 'Class Name: democrat', 'aid-to-nicaraguan-contras: yes'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9166666666666666')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'Class Name: democrat', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9407894736842105')
({'anti-satellite-test-ban: yes', 'physician-fee-freeze: no', 'superfund-right-to-sue: no', 'Class Name: democrat', 'aid-to-nicaraguan-contras: yes'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9470198675496688')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'physician-fee-freeze: no', 'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes'}, {'Class Name: democrat'}, 'confidence: 1.0')
({'crime: no', 'anti-satellite-test-ban: yes'}, {'aid-to-nicaraguan-contras: yes', 'Class Name: democrat', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9256756756756757')
({'Class Name: democrat', 'anti-satellite-test-ban: yes', 'crime: no'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9256756756756757')
({'crime: no', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'Class Name: democrat', 'physician-fee-freeze: no'}, 'confidence: 0.9716312056737588')
({'Class Name: democrat', 'anti-satellite-test-ban: yes', 'crime: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9716312056737588')
({'aid-to-nicaraguan-contras: yes', 'crime: no', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9013157894736842')
({'aid-to-nicaraguan-contras: yes', 'Class Name: democrat', 'crime: no', 'adoption-of-the-budget-resolution: yes'}, {'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9013157894736842')
({'aid-to-nicaraguan-contras: yes', 'crime: no', 'anti-satellite-test-ban: yes'}, {'Class Name: democrat', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9513888888888888')
({'aid-to-nicaraguan-contras: yes', 'Class Name: democrat', 'anti-satellite-test-ban: yes', 'crime: no'}, {'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9513888888888888')
({'aid-to-nicaraguan-contras: yes', 'crime: no', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat', 'physician-fee-freeze: no'}, 'confidence: 0.9927536231884058')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'crime: no', 'Class Name: democrat', 'aid-to-nicaraguan-contras: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9927536231884058')
({'crime: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes', 'Class Name: democrat', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9383561643835616')
({'Class Name: democrat', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no', 'crime: no'}, {'aid-to-nicaraguan-contras: yes', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9383561643835616')
({'crime: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'Class Name: democrat'}, 'confidence: 0.9785714285714285')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'crime: no', 'physician-fee-freeze: no', 'Class Name: democrat'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9785714285714285')
({'aid-to-nicaraguan-contras: yes', 'crime: no', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat', 'anti-satellite-test-ban: yes'}, 'confidence: 0.9133333333333333')
({'adoption-of-the-budget-resolution: yes', 'crime: no', 'physician-fee-freeze: no', 'Class Name: democrat', 'aid-to-nicaraguan-contras: yes'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9133333333333333')
({'aid-to-nicaraguan-contras: yes', 'crime: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'Class Name: democrat', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9647887323943662')
({'anti-satellite-test-ban: yes', 'crime: no', 'physician-fee-freeze: no', 'Class Name: democrat', 'aid-to-nicaraguan-contras: yes'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9647887323943662')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'crime: no', 'physician-fee-freeze: no', 'aid-to-nicaraguan-contras: yes'}, {'Class Name: democrat'}, 'confidence: 1.0')
({'Class Name: democrat', 'anti-satellite-test-ban: yes', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, 'confidence: 0.9113924050632911')
({'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no', 'Class Name: democrat'}, 'confidence: 0.9230769230769231')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'Class Name: democrat', 'aid-to-nicaraguan-contras: yes', 'education-spending: no'}, {'el-salvador-aid: no'}, 'confidence: 0.9536423841059603')
({'el-salvador-aid: no', 'Class Name: democrat', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes'}, 'confidence: 0.9113924050632911')
({'el-salvador-aid: no', 'Class Name: democrat', 'anti-satellite-test-ban: yes', 'education-spending: no'}, {'aid-to-nicaraguan-contras: yes', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9056603773584906')
({'el-salvador-aid: no', 'anti-satellite-test-ban: yes', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'Class Name: democrat'}, 'confidence: 0.972972972972973')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'Class Name: democrat', 'el-salvador-aid: no', 'education-spending: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9863013698630136')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat', 'anti-satellite-test-ban: yes'}, 'confidence: 0.9056603773584906')
({'adoption-of-the-budget-resolution: yes', 'Class Name: democrat', 'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'education-spending: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9230769230769231')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'anti-satellite-test-ban: yes', 'education-spending: no'}, {'Class Name: democrat', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9')
({'anti-satellite-test-ban: yes', 'Class Name: democrat', 'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'education-spending: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9230769230769231')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'education-spending: no'}, {'Class Name: democrat'}, 'confidence: 0.9863013698630136')
({'superfund-right-to-sue: no', 'Class Name: democrat', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, 'confidence: 0.9246575342465754')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no', 'Class Name: democrat'}, 'confidence: 0.9')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'superfund-right-to-sue: no', 'Class Name: democrat', 'aid-to-nicaraguan-contras: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.9440559440559441')
({'el-salvador-aid: no', 'Class Name: democrat', 'superfund-right-to-sue: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes'}, 'confidence: 0.9183673469387755')
({'superfund-right-to-sue: no', 'Class Name: democrat', 'anti-satellite-test-ban: yes', 'el-salvador-aid: no'}, {'aid-to-nicaraguan-contras: yes', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9183673469387755')
({'superfund-right-to-sue: no', 'el-salvador-aid: no', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'Class Name: democrat'}, 'confidence: 0.9642857142857143')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'superfund-right-to-sue: no', 'Class Name: democrat', 'el-salvador-aid: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9854014598540146')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat', 'anti-satellite-test-ban: yes'}, 'confidence: 0.9060402684563759')
({'adoption-of-the-budget-resolution: yes', 'superfund-right-to-sue: no', 'Class Name: democrat', 'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9310344827586207')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'anti-satellite-test-ban: yes'}, {'Class Name: democrat', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9121621621621622')
({'anti-satellite-test-ban: yes', 'superfund-right-to-sue: no', 'Class Name: democrat', 'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9375')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, {'Class Name: democrat'}, 'confidence: 0.9782608695652174')
({'crime: no', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no', 'aid-to-nicaraguan-contras: yes', 'Class Name: democrat'}, 'confidence: 0.9361702127659575')
({'Class Name: democrat', 'anti-satellite-test-ban: yes', 'crime: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, 'confidence: 0.9361702127659575')
({'aid-to-nicaraguan-contras: yes', 'crime: no', 'anti-satellite-test-ban: yes'}, {'el-salvador-aid: no', 'Class Name: democrat', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9166666666666666')
({'aid-to-nicaraguan-contras: yes', 'Class Name: democrat', 'anti-satellite-test-ban: yes', 'crime: no'}, {'el-salvador-aid: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9166666666666666')
({'aid-to-nicaraguan-contras: yes', 'crime: no', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no', 'Class Name: democrat'}, 'confidence: 0.9565217391304348')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'crime: no', 'Class Name: democrat', 'aid-to-nicaraguan-contras: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.9565217391304348')
({'el-salvador-aid: no', 'crime: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'Class Name: democrat', 'anti-satellite-test-ban: yes'}, 'confidence: 0.9166666666666666')
({'el-salvador-aid: no', 'Class Name: democrat', 'crime: no', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'anti-satellite-test-ban: yes'}, 'confidence: 0.9166666666666666')
({'el-salvador-aid: no', 'crime: no', 'anti-satellite-test-ban: yes'}, {'aid-to-nicaraguan-contras: yes', 'Class Name: democrat', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9361702127659575')
({'el-salvador-aid: no', 'Class Name: democrat', 'anti-satellite-test-ban: yes', 'crime: no'}, {'aid-to-nicaraguan-contras: yes', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9361702127659575')
({'el-salvador-aid: no', 'crime: no', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'aid-to-nicaraguan-contras: yes', 'Class Name: democrat'}, 'confidence: 0.9850746268656716')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'crime: no', 'Class Name: democrat', 'el-salvador-aid: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9850746268656716')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no', 'crime: no', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat', 'anti-satellite-test-ban: yes'}, 'confidence: 0.9295774647887324')
({'adoption-of-the-budget-resolution: yes', 'crime: no', 'Class Name: democrat', 'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9295774647887324')
({'el-salvador-aid: no', 'aid-to-nicaraguan-contras: yes', 'crime: no', 'anti-satellite-test-ban: yes'}, {'Class Name: democrat', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9565217391304348')
({'anti-satellite-test-ban: yes', 'crime: no', 'Class Name: democrat', 'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9565217391304348')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'crime: no', 'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, {'Class Name: democrat'}, 'confidence: 1.0')
({'mx-missile: yes', 'Class Name: democrat', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no', 'physician-fee-freeze: no'}, 'confidence: 0.9285714285714286')
({'mx-missile: yes', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'el-salvador-aid: no', 'Class Name: democrat'}, 'confidence: 0.9407894736842105')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'mx-missile: yes', 'physician-fee-freeze: no', 'Class Name: democrat'}, {'el-salvador-aid: no'}, 'confidence: 0.9407894736842105')
({'el-salvador-aid: no', 'mx-missile: yes', 'Class Name: democrat', 'adoption-of-the-budget-resolution: yes'}, {'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, 'confidence: 0.9166666666666666')
({'el-salvador-aid: no', 'mx-missile: yes', 'Class Name: democrat', 'anti-satellite-test-ban: yes'}, {'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9050632911392406')
({'mx-missile: yes', 'el-salvador-aid: no', 'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat', 'physician-fee-freeze: no'}, 'confidence: 0.9662162162162162')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'mx-missile: yes', 'Class Name: democrat', 'el-salvador-aid: no'}, {'physician-fee-freeze: no'}, 'confidence: 0.9862068965517241')
({'mx-missile: yes', 'el-salvador-aid: no', 'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat', 'anti-satellite-test-ban: yes'}, 'confidence: 0.9285714285714286')
({'adoption-of-the-budget-resolution: yes', 'mx-missile: yes', 'physician-fee-freeze: no', 'Class Name: democrat', 'el-salvador-aid: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9285714285714286')
({'mx-missile: yes', 'el-salvador-aid: no', 'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'Class Name: democrat', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9285714285714286')
({'anti-satellite-test-ban: yes', 'mx-missile: yes', 'physician-fee-freeze: no', 'Class Name: democrat', 'el-salvador-aid: no'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.934640522875817')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'mx-missile: yes', 'physician-fee-freeze: no', 'el-salvador-aid: no'}, {'Class Name: democrat'}, 'confidence: 1.0')
({'mx-missile: yes', 'Class Name: democrat', 'anti-satellite-test-ban: yes', 'education-spending: no'}, {'physician-fee-freeze: no', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9047619047619048')
({'mx-missile: yes', 'anti-satellite-test-ban: yes', 'education-spending: no', 'adoption-of-the-budget-resolution: yes'}, {'Class Name: democrat', 'physician-fee-freeze: no'}, 'confidence: 0.9637681159420289')
({'anti-satellite-test-ban: yes', 'adoption-of-the-budget-resolution: yes', 'mx-missile: yes', 'Class Name: democrat', 'education-spending: no'}, {'physician-fee-freeze: no'}, 'confidence: 0.9851851851851852')
({'mx-missile: yes', 'physician-fee-freeze: no', 'anti-satellite-test-ban: yes', 'education-spending: no'}, {'Class Name: democrat', 'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9300699300699301')
